title,price,link
Угловая шлифмашина Bosch GWS 670 Professional 0601375606,"219,00",https://www.oma.by/shlifmashina-uglovaya-bosch-gws-670-0601375606-1-262997-p
"Дрель-шуруповерт Makita DF333DWYE с 2-мя АКБ, кейс","383,76",https://www.oma.by/drel-shurupovert-akk-makita-df333dwye-12v-2sk-30nm-2akk1-5ach-psb-10-chem-1-282413-p
Эксцентриковая шлифмашина Makita MT M9204,"232,70",https://www.oma.by/shlifmashina-eksts-makita-m9204-240vt-125mm-kor-1-289818-p
Дрель-шуруповерт Werker CD 1212 Li с 2-мя АКБ,"199,90",https://www.oma.by/drel-shurupovert-werker-cd-1212-li-1-261825-p
Электролобзик Makita MT M4301,"171,26",https://www.oma.by/lobzik-elektricheskiy-makita-m4301-1-289819-p
Дисковая (циркулярная) пила WERKER CS 160 L,"209,90",https://www.oma.by/pila-diskovaya-elektricheskaya-bytovaya-werker-cs-160-l-1-264609-p
Угловая шлифовальная машина Энергомаш УШМ-115,"72,40",https://www.oma.by/shlifmashina-uglov-energomash-ushm-115-700vt-115mm-11000ob-min-kor-1-319340-p
Дрель-шуруповерт Werker DSE 280,"99,90",https://www.oma.by/drel-shurupovert-bytovaya-werker-dse-280-1-260565-p
Эксцентриковая шлифмашина Werker RS 270 S,"145,07",https://www.oma.by/shlifmashina-ekstsentrikovaya-setevaya-werker-rs-270-s-1-260669-p
Шлифмашина угловая WERKER AG 750,"129,90",https://www.oma.by/shlifmashina-uglov-werker-ag-750-750vt-125mm-12000ob-min-kor-1-305518-p
Рубанок Werker PL 900,"239,90",https://www.oma.by/rubanok-setevoy-werker-pl-900-1-260642-p
Дисковая (циркулярная) пила Werker CS 185 L,"279,90",https://www.oma.by/pila-diskovaya-elektricheskaya-bytovaya-werker-cs-185-l-1-264608-p
Дрель-шуруповерт Werker CD 1412 Li (с 2-мя АКБ),"239,90",https://www.oma.by/akkumulyatornaya-drel-shurupovert-werker-cd-1412-li-1-261827-p
Угловая шлифмашина Makita M9507,"187,99",https://www.oma.by/shlifmashina-uglov-makita-m9507-720vt-115mm-11000ob-min-kor-1-294658-p
Дрель-шуруповерт Bosch GSR 180-LI Professional 06019F8109,"628,65",https://www.oma.by/drel-shurupovert-akk-bosch-gsr-180li-18v-2sk-54nm-2akk2-0ach-chem-06019f8109-1-278671-p
Дрель-шуруповерт Werker CD 1201 Li с 1-м АКБ,"129,90",https://www.oma.by/akkumulyatornaya-drel-shurupovert-werker-cd-1201-li-1-261822-p
"Ударная дрель-шуруповерт Makita HP333DWAE с 2-мя АКБ, кейс","702,57",https://www.oma.by/drel-shurupovert-akk-makita-hp333dwae-ud-12v-2sk-30nm-2akk2-0ach-chem-1-283093-p
Угловая шлифмашина Makita GA5034,"269,99",https://www.oma.by/shlifmashina-uglovaya-makita-ga5034-1-257878-p
Дрель-шуруповерт Werker CD 1202 Li с 2-мя АКБ,"189,90",https://www.oma.by/akkumulyatornaya-drel-shurupovert-werker-cd-1202-li-1-261823-p
Дрель-шуруповерт DWT ABS-12 L-2 BMC,"225,00",https://www.oma.by/akkumulyatornaya-drel-shurupovert-dwt-abs-12-l-2-bmc-1-285200-p
"Дрель-шуруповерт DWT ABS-14.4 L-2 BMC (с 2-мя АКБ, кейс)","248,84",https://www.oma.by/akkumulyatornaya-drel-shurupovert-dwt-abs-14-4-l-2-bmc-1-285201-p
Гравер Werker EG 160,"169,90",https://www.oma.by/shlifmashinka-gravirovalnaya-setevaya-werker-eg-160-1-260647-p
Угловая шлифмашина Bosch PWS 700-115 06033A2020,"225,31",https://www.oma.by/uglovaya-shlifmashina-bosch-pws-700-115-0-603-3a2-020-700-115-1-207232-p
Краскораспылитель DWT ESP01-250,"104,38",https://www.oma.by/kraskoraspylitel-dwt-esp01-250-1-230538-p
